,episode,round,state,action,reward,done,model
0,0,0,"[-3.4294129e-04  1.4156870e+00 -3.4754954e-02  2.1185254e-01
  4.0420474e-04  7.8725312e-03  0.0000000e+00  0.0000000e+00]",2.0,,False,Sarsa
1,0,1,"[-6.9646834e-04  1.4207752e+00 -3.5695259e-02  2.2614363e-01
  7.4455247e-04  6.8082847e-03  0.0000000e+00  0.0000000e+00]",3.0,-2.268766320725791,False,Sarsa
2,0,2,"[-9.6931460e-04  1.4252741e+00 -2.5581961e-02  1.9995467e-01
 -9.4381621e-04 -3.3770263e-02  0.0000000e+00  0.0000000e+00]",3.0,2.2360556984272946,False,Sarsa
3,0,3,"[-1.1719704e-03  1.4291828e+00 -1.6777376e-02  1.7371562e-01
 -4.3953727e-03 -6.9037825e-02  0.0000000e+00  0.0000000e+00]",3.0,1.9400133933875747,False,Sarsa
4,0,4,"[-1.3084412e-03  1.4324992e+00 -8.4760031e-03  1.4736949e-01
 -9.5080221e-03 -1.0226240e-01  0.0000000e+00  0.0000000e+00]",3.0,1.8181752360718815,False,Sarsa
5,0,5,"[-1.37186050e-03  1.43521094e+00  6.82932907e-04  1.20468065e-01
 -1.64536871e-02 -1.38926044e-01  0.00000000e+00  0.00000000e+00]",3.0,1.7185497219564365,False,Sarsa
6,0,6,"[-1.3671875e-03  1.4373324e+00  9.2088375e-03  9.4163328e-02
 -2.5100548e-02 -1.7295337e-01  0.0000000e+00  0.0000000e+00]",3.0,1.4789145470250287,False,Sarsa
7,0,7,"[-1.2922287e-03  1.4388427e+00  1.8014949e-02  6.6911787e-02
 -3.5511058e-02 -2.0822942e-01  0.0000000e+00  0.0000000e+00]",2.0,1.309744072900146,False,Sarsa
8,0,8,"[-1.1904717e-03  1.4408178e+00  2.0696478e-02  8.7509327e-02
 -4.5912910e-02 -2.0805588e-01  0.0000000e+00  0.0000000e+00]",3.0,-3.6005982365785085,False,Sarsa
9,0,9,"[-9.9439616e-04  1.4421895e+00  3.2486942e-02  6.0512256e-02
 -5.8674041e-02 -2.5524563e-01  0.0000000e+00  0.0000000e+00]",3.0,0.6809495233725624,False,Sarsa
10,0,10,"[-7.3223113e-04  1.4429482e+00  4.0778346e-02  3.3093806e-02
 -7.3100343e-02 -2.8855246e-01  0.0000000e+00  0.0000000e+00]",3.0,0.06791444867821042,False,Sarsa
11,0,11,"[-3.7326812e-04  1.4431114e+00  5.2878946e-02  6.3329157e-03
 -8.9936934e-02 -3.3676296e-01  0.0000000e+00  0.0000000e+00]",3.0,-1.8039127247183149,False,Sarsa
12,0,12,"[ 4.94956985e-05  1.44265962e+00  6.08489290e-02 -2.13000774e-02
 -1.08383685e-01 -3.68969470e-01  0.00000000e+00  0.00000000e+00]",2.0,-2.9507387504586107,False,Sarsa
