,episode,round,state,action,reward,done,model
0,0,0,[-0.41479376  0.        ],0.0,,False,Sarsa
1,0,1,[-0.4165954  -0.00180162],1.0,-1.0,False,Sarsa
2,0,2,[-0.41918582 -0.00259044],2.0,-1.0,False,Sarsa
3,0,3,[-0.4215466  -0.00236079],0.0,-1.0,False,Sarsa
4,0,4,[-0.4256609  -0.00411428],2.0,-1.0,False,Sarsa
5,0,5,[-0.42949918 -0.00383829],1.0,-1.0,False,Sarsa
6,0,6,[-0.4340339 -0.0045347],0.0,-1.0,False,Sarsa
7,0,7,[-0.44023228 -0.00619839],2.0,-1.0,False,Sarsa
8,0,8,[-0.44604942 -0.00581714],1.0,-1.0,False,Sarsa
9,0,9,[-0.45244294 -0.00639352],0.0,-1.0,False,Sarsa
10,0,10,[-0.4603661  -0.00792315],0.0,-1.0,False,Sarsa
11,0,11,[-0.46976063 -0.00939455],1.0,-1.0,False,Sarsa
12,0,12,[-0.47955722 -0.00979659],2.0,-1.0,False,Sarsa
13,0,13,[-0.48868316 -0.00912594],0.0,-1.0,False,Sarsa
14,0,14,[-0.4990705  -0.01038733],2.0,-1.0,False,Sarsa
15,0,15,[-0.5086416  -0.00957112],1.0,-1.0,False,Sarsa
16,0,16,[-0.5183249  -0.00968326],2.0,-1.0,False,Sarsa
17,0,17,[-0.5270477  -0.00872282],0.0,-1.0,False,Sarsa
18,0,18,[-0.53674465 -0.00969695],1.0,-1.0,False,Sarsa
19,0,19,[-0.546343   -0.00959838],2.0,-1.0,False,Sarsa
20,0,20,[-0.55477095 -0.00842793],2.0,-1.0,False,Sarsa
21,0,21,[-0.56196547 -0.00719448],1.0,-1.0,False,Sarsa
22,0,22,[-0.5688728  -0.00690737],0.0,-1.0,False,Sarsa
23,0,23,[-0.57644165 -0.00756885],2.0,-1.0,False,Sarsa
24,0,24,[-0.58261585 -0.00617419],0.0,-1.0,False,Sarsa
25,0,25,[-0.58934975 -0.00673387],1.0,-1.0,False,Sarsa
26,0,26,[-0.59559363 -0.00624393],1.0,-1.0,False,Sarsa
27,0,27,[-0.6013018  -0.00570816],2.0,-1.0,False,Sarsa
28,0,28,[-0.60543245 -0.00413065],0.0,-1.0,False,Sarsa
29,0,29,[-0.6099555  -0.00452304],2.0,-1.0,False,Sarsa
30,0,30,[-0.6128381  -0.00288259],1.0,-1.0,False,Sarsa
31,0,31,[-0.6150594  -0.00222126],2.0,-1.0,False,Sarsa
32,0,32,[-6.156032e-01 -5.438796e-04],0.0,-1.0,False,Sarsa
33,0,33,[-0.6164658  -0.00086257],1.0,-1.0,False,Sarsa
34,0,34,[-6.1664087e-01 -1.7504694e-04],2.0,-1.0,False,Sarsa
35,0,35,[-0.6151271   0.00151374],2.0,-1.0,False,Sarsa
36,0,36,[-0.6119355   0.00319161],0.0,-1.0,False,Sarsa
37,0,37,[-0.6090891   0.00284641],1.0,-1.0,False,Sarsa
38,0,38,[-0.6056085   0.00348058],2.0,-1.0,False,Sarsa
39,0,39,[-0.60051906  0.00508947],2.0,-1.0,False,Sarsa
40,0,40,[-0.59385777  0.00666126],0.0,-1.0,False,Sarsa
41,0,41,[-0.5876735   0.00618431],2.0,-1.0,False,Sarsa
42,0,42,[-0.58001155  0.00766192],1.0,-1.0,False,Sarsa
43,0,43,[-0.57192856  0.008083  ],2.0,-1.0,False,Sarsa
44,0,44,[-0.5624843  0.0094442],0.0,-1.0,False,Sarsa
45,0,45,[-0.55374914  0.00873518],1.0,-1.0,False,Sarsa
46,0,46,[-0.5447882  0.008961 ],2.0,-1.0,False,Sarsa
47,0,47,[-0.5346683   0.01011982],1.0,-1.0,False,Sarsa
48,0,48,[-0.5244655   0.01020282],0.0,-1.0,False,Sarsa
49,0,49,[-0.5152562   0.00920932],2.0,-1.0,False,Sarsa
50,0,50,[-0.5051094   0.01014676],1.0,-1.0,False,Sarsa
51,0,51,[-0.49510127  0.01000816],0.0,-1.0,False,Sarsa
52,0,52,[-0.48630658  0.00879469],2.0,-1.0,False,Sarsa
53,0,53,[-0.47679102  0.00951558],2.0,-1.0,False,Sarsa
54,0,54,[-0.46662533  0.01016568],1.0,-1.0,False,Sarsa
55,0,55,[-0.4568849   0.00974045],0.0,-1.0,False,Sarsa
56,0,56,[-0.44864145  0.00824343],1.0,-1.0,False,Sarsa
57,0,57,[-0.44095546  0.00768598],2.0,-1.0,False,Sarsa
58,0,58,[-0.432883    0.00807248],1.0,-1.0,False,Sarsa
59,0,59,[-0.4254825   0.00740048],2.0,-1.0,False,Sarsa
60,0,60,[-0.4178073   0.00767519],0.0,-1.0,False,Sarsa
61,0,61,[-0.4119123   0.00589501],1.0,-1.0,False,Sarsa
62,0,62,[-0.40683934  0.00507295],2.0,-1.0,False,Sarsa
63,0,63,[-0.4016243   0.00521505],0.0,-1.0,False,Sarsa
64,0,64,[-0.39830378  0.00332052],1.0,-1.0,False,Sarsa
65,0,65,[-0.395901    0.00240278],2.0,-1.0,False,Sarsa
66,0,66,[-0.3934327  0.0024683],0.0,-1.0,False,Sarsa
67,0,67,[-0.39291602  0.00051668],1.0,-1.0,False,Sarsa
68,0,68,[-0.39335456 -0.00043853],0.0,-1.0,False,Sarsa
69,0,69,[-0.39574525 -0.00239069],2.0,-1.0,False,Sarsa
70,0,70,[-0.3980715  -0.00232625],0.0,-1.0,False,Sarsa
71,0,71,[-0.4023171  -0.00424561],1.0,-1.0,False,Sarsa
72,0,72,[-0.4074524  -0.00513529],0.0,-1.0,False,Sarsa
73,0,73,[-0.4144413  -0.00698887],2.0,-1.0,False,Sarsa
74,0,74,[-0.42123428 -0.00679299],1.0,-1.0,False,Sarsa
75,0,75,[-0.428783   -0.00754872],0.0,-1.0,False,Sarsa
76,0,76,[-0.43803328 -0.00925029],2.0,-1.0,False,Sarsa
77,0,77,[-0.44691828 -0.008885  ],1.0,-1.0,False,Sarsa
78,0,78,[-0.45637333 -0.00945505],0.0,-1.0,False,Sarsa
79,0,79,[-0.46732914 -0.01095583],0.0,-1.0,False,Sarsa
80,0,80,[-0.479705   -0.01237585],0.0,-1.0,False,Sarsa
81,0,81,[-0.4934091 -0.0137041],2.0,-1.0,False,Sarsa
82,0,82,[-0.5063393  -0.01293021],0.0,-1.0,False,Sarsa
83,0,83,[-0.5203989 -0.0140596],0.0,-1.0,False,Sarsa
84,0,84,[-0.5354825 -0.0150836],1.0,-1.0,False,Sarsa
85,0,85,[-0.550477   -0.01499449],2.0,-1.0,False,Sarsa
86,0,86,[-0.56427014 -0.01379312],1.0,-1.0,False,Sarsa
87,0,87,[-0.57775897 -0.01348884],0.0,-1.0,False,Sarsa
88,0,88,[-0.5918434  -0.01408443],1.0,-1.0,False,Sarsa
89,0,89,[-0.6054196  -0.01357616],0.0,-1.0,False,Sarsa
90,0,90,[-0.6193882  -0.01396865],2.0,-1.0,False,Sarsa
91,0,91,[-0.6316483  -0.01226008],0.0,-1.0,False,Sarsa
92,0,92,[-0.6441121  -0.01246382],1.0,-1.0,False,Sarsa
93,0,93,[-0.6556916  -0.01157953],0.0,-1.0,False,Sarsa
94,0,94,[-0.6673062  -0.01161456],0.0,-1.0,False,Sarsa
95,0,95,[-0.67887604 -0.01156984],2.0,-1.0,False,Sarsa
96,0,96,[-0.68832296 -0.00944692],1.0,-1.0,False,Sarsa
97,0,97,[-0.6965841  -0.00826116],0.0,-1.0,False,Sarsa
98,0,98,[-0.70460534 -0.00802123],2.0,-1.0,False,Sarsa
99,0,99,[-0.7103348  -0.00572942],1.0,-1.0,False,Sarsa
